time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average.1,Gaussian Moving Average.2,Unnamed: 12,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ticker
1431955800,58.98,59.38,57.95,57.97,,59.38,57.95,57.97,66.35940232848814,66.4241514105444,66.4241514105444,66.4241514105444,5277833.0,58.59600000000008,64.47400000000002,,44.00487163920492,44.23522076924839,,,,,,,FLR
1432647000,57.57,57.59,55.89,56.22,,57.59,55.89,56.22,66.33236409318627,66.40256149792009,66.40256149792009,66.40256149792009,4972900.0,58.48900000000008,64.04560000000002,,39.85902950527638,43.93996219072808,,,,,,,FLR
1433165400,56.35,57.97,55.1,55.64,,57.97,55.1,55.64,66.29882057343802,66.37829016293567,66.37829016293567,66.37829016293567,6120244.0,58.37700000000008,63.58800000000003,,38.562299517865085,43.70662710419056,,,,,,,FLR
1433770200,55.57,55.96,54.89,55.06,,55.96,54.89,55.06,66.25318462153479,66.34974656730749,66.34974656730749,66.34974656730749,4340752.0,58.12400000000008,63.15160000000004,,37.256984837403145,43.4622114286059,,,,,,,FLR
1434375000,54.62,56.25,54.07,55.59,,56.25,54.07,55.59,66.27622061642518,66.32816793246762,66.32816793246762,66.32816793246762,5548451.0,57.77000000000008,62.683600000000034,,39.27962805029382,43.43320750434327,,,,,,,FLR
1434979800,56.0,56.35,54.42,54.56,,56.35,54.42,54.56,66.19721603138157,66.2976701451013,66.2976701451013,66.2976701451013,5779231.0,57.27400000000007,62.23480000000004,,36.79699630731124,43.11650545557202,,,,,,,FLR
1435584600,53.91,54.18,52.53,52.91,,54.18,52.53,52.91,65.74681753122532,66.19949733939193,66.19949733939193,66.19949733939193,4647429.0,56.55400000000007,61.75780000000003,,33.17921397563765,42.611454295068896,,,,,,,FLR
1436189400,52.07,52.75,50.4,50.74,,52.75,50.4,50.74,64.44239910085216,65.89831717919967,65.89831717919967,65.89831717919967,7327517.0,55.75800000000008,61.25220000000004,,29.123772264702534,41.65209712031164,,,,,,,FLR
1436794200,50.92,52.08,49.825,50.27,,52.08,49.825,50.27,63.953089480583216,65.52584443946209,65.52584443946209,65.52584443946209,6476042.0,54.81900000000008,60.79260000000003,,28.316473941411616,40.34144003041944,,,,,,,FLR
1437399000,50.19,50.41,47.79,48.06,,50.41,47.79,48.06,62.51717877534817,64.93777967247769,64.93777967247769,64.93777967247769,7119907.0,53.70200000000007,60.309600000000025,,24.831014828670572,38.70889330388119,,,,,,,FLR
1438003800,47.53,51.01,45.14,46.75,,51.01,45.14,46.75,61.47888087473158,64.20953259402648,64.20953259402648,64.20953259402648,13805945.0,52.58000000000006,59.79960000000003,,23.022056198507897,36.834120357671154,,,23.022056198507897,,,,FLR
1438608600,46.51,48.2806,45.93,47.46,,48.2806,45.93,47.46,61.09878616659094,63.4655449867849,63.4655449867849,63.4655449867849,11135139.0,51.70400000000007,59.27020000000003,,26.16175001143625,35.437763191683146,,,,,,,FLR
1439213400,47.86,48.945,47.42,48.03,,48.945,47.42,48.03,60.71017863632885,62.73110261399013,62.73110261399013,62.73110261399013,7156757.0,50.94300000000006,58.75300000000003,,28.67683568858357,34.02604240708665,,,,,,,FLR
1439818200,47.73,48.24,44.9101,44.97,,48.24,44.9101,44.97,59.34717606604763,61.88026964260184,61.88026964260184,61.88026964260184,7844693.0,49.93400000000006,58.17940000000003,,23.958741152297023,32.359261994185815,,,,,,,FLR
1440423000,42.03,45.99,41.88,45.65,,45.99,41.88,45.65,58.97387522290448,61.09522548548347,61.09522548548347,61.09522548548347,9714298.0,48.940000000000055,57.69260000000003,,26.83935539437934,31.13315369098399,,,,,,,FLR
1441027800,45.13,45.99,43.49,43.66,,45.99,43.49,43.66,57.92108385295559,60.28197235793152,60.28197235793152,60.28197235793152,6679705.0,47.85000000000006,57.16040000000002,,23.97678837786765,29.99870789616908,,,,,,,FLR
1441719000,44.38,45.8,44.01,45.24,,45.8,44.01,45.24,57.57857216066111,59.55402639841473,59.55402639841473,59.55402639841473,5291522.0,47.083000000000055,56.71220000000003,,30.33033200849414,29.41071021692829,,,,,,,FLR
1442237400,44.96,45.5999,43.14,43.29,,45.5999,43.14,43.29,57.11176209476979,58.88393122182384,58.88393122182384,58.88393122182384,8557117.0,46.33800000000006,56.25800000000004,,27.29808740477596,28.699360400312067,,,,,,,FLR
1442842200,43.62,43.88,40.71,42.14,,43.88,40.71,42.14,56.20555454880522,58.19361017610712,58.19361017610712,58.19361017610712,6989036.0,45.525000000000055,55.84320000000003,,25.66829601541484,27.727122397820715,,,,,,,FLR
1443447000,41.65,42.75,40.61,42.4,,42.75,40.61,42.4,55.86662425970204,57.56380661998553,57.56380661998553,57.56380661998553,9129999.0,44.95900000000006,55.44620000000003,,26.73333719610538,27.00828960416315,,,,,,,FLR
1444051800,42.75,47.955,42.64,47.41,,47.955,42.64,47.41,55.5301165293974,56.99199186635572,56.99199186635572,56.99199186635572,8776478.0,45.025000000000055,55.09540000000003,,43.52511647250726,27.74728263965384,,,,,,,FLR
1444656600,47.49,47.62,44.23,44.66,,47.62,44.23,44.66,55.17188477308633,56.47481245653895,56.47481245653895,56.47481245653895,7071979.0,44.74500000000005,54.66180000000003,,38.331964467664754,28.40501065415114,,,,,,,FLR
1445261400,44.22,46.26,44.21,46.21,,46.26,44.21,46.21,54.82640076752848,56.00816286820674,56.00816286820674,56.00816286820674,5713531.0,44.56300000000006,54.26020000000003,,42.49652224461378,29.41787124723701,,,,,,,FLR
